task_name,component_id,task_schedulable,avg_response_time,max_response_time,sup_util,component_schedulable
Task_0,Camera_Sensor,1,0.000,0.000,0.181,1
Task_1,Camera_Sensor,1,0.000,0.000,0.181,1
Task_2,Camera_Sensor,1,44.679,74.574,0.181,1
Task_3,Camera_Sensor,1,57.212,95.295,0.181,1
Task_4,Camera_Sensor,1,143.100,149.017,0.181,1
Task_5,Image_Processor,1,28.049,49.072,0.188,1
Task_6,Image_Processor,1,73.547,75.827,0.188,1
Task_7,Image_Processor,1,198.072,198.072,0.188,1
Task_8,Bitmap_Processor,1,0.000,0.000,0.128,1
Task_9,Bitmap_Processor,1,0.000,0.000,0.128,1
Task_10,Bitmap_Processor,1,0.000,0.000,0.128,1
Task_11,Bitmap_Processor,1,0.000,0.000,0.128,1
Task_12,Lidar_Sensor,1,0.000,0.000,0.323,1
Task_13,Lidar_Sensor,1,80.927,87.260,0.323,1
Task_14,Lidar_Sensor,1,0.000,0.000,0.323,1
Task_15,Lidar_Sensor,1,0.000,0.000,0.323,1
Task_16,Control_Unit,1,165.653,192.857,0.609,1
Task_17,Control_Unit,1,60.894,79.895,0.609,1
Task_18,Control_Unit,1,768.060,768.060,0.609,1
Task_19,Control_Unit,1,84.139,96.527,0.609,1
Task_20,Control_Unit,1,0.000,0.000,0.609,1
Task_21,Control_Unit,1,25.002,48.060,0.609,1
Task_22,GPS_Sensor,1,0.000,0.000,0.166,1
Task_23,GPS_Sensor,1,0.000,0.000,0.166,1
Task_24,Communication_Unit,1,15.652,35.782,0.409,1
Task_25,Communication_Unit,1,56.682,72.995,0.409,1
Task_26,Communication_Unit,1,0.000,0.000,0.409,1
Task_27,Communication_Unit,1,9.719,10.782,0.409,1
