task_name,component_id,task_schedulable,avg_response_time,max_response_time,component_schedulable
Task_0,Camera_Sensor,1,0.000,0.000,0
Task_1,Camera_Sensor,1,0.000,0.000,0
Task_2,Camera_Sensor,1,0.000,0.000,0
Task_3,Camera_Sensor,1,0.000,0.000,0
Task_4,Camera_Sensor,1,0.000,0.000,0
Task_5,Image_Processor,1,5.685,9.685,0
Task_6,Image_Processor,1,24.232,41.369,0
Task_7,Image_Processor,1,0.000,0.000,0
Task_8,Lidar_Sensor,1,9.876,21.613,1
Task_9,Lidar_Sensor,1,0.000,0.000,1
Task_10,Lidar_Sensor,1,41.226,45.226,1
Task_11,Lidar_Sensor,1,0.000,0.000,1
Task_12,Control_Unit,1,53.729,74.839,1
Task_13,Control_Unit,1,28.071,39.452,1
Task_14,Control_Unit,1,93.995,97.129,1
Task_15,Control_Unit,1,34.642,49.452,1
Task_16,Control_Unit,1,66.108,74.516,1
Task_17,Control_Unit,1,117.653,118.903,1
